1h-purin-6-amine, n-(phenylmethyl)-/emissions to soil/agricultural/kg;48c8454e-6ae2-4fc0-8edb-42028857c6c0;1.0;1h-Purin-6-amine, n-(phenylmethyl)-;Emissions to soil/agricultural;;1H-PURIN-6-AMINE, N-(PHENYLMETHYL)-;Elementary flows/Emission to soil/agricultural;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;kg;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;;;;;
1h-purin-6-amine, n-(phenylmethyl)-/emissions to water/unspecified/kg;8a8ed243-79e9-44f2-b945-5f752b063025;1.0;1h-Purin-6-amine, n-(phenylmethyl)-;Emissions to water/Unspecified;;1H-PURIN-6-AMINE, N-(PHENYLMETHYL)-;Elementary flows/Emission to water/unspecified;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;kg;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;;;;;
2 4-d  triiso. salt/emissions to soil/agricultural/kg;b61bbdbe-19bb-4bbe-b7a7-339eee425d9d;1.0;2 4-d  triiso. salt;Emissions to soil/agricultural;;2 4-d  triiso. salt;Elementary flows/Emission to soil/agricultural;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;kg;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;;;;;
2 4-db  dimeth. salt/emissions to soil/agricultural/kg;88192d3c-3444-47ef-a935-757eed29f347;1.0;2 4-db  dimeth. salt;Emissions to soil/agricultural;;2 4-db  dimeth. salt;Elementary flows/Emission to soil/agricultural;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;kg;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;;;;;
2,2-bis(4-hydroxy-3,5-dibromophenyl)propane/emissions to air/high. pop./kg;e7fe6361-a5ff-41b6-9cea-ebce4a266fc4;1.0;2,2-Bis(4-hydroxy-3,5-dibromophenyl)propane;Emissions to air/high. pop.;;2,2-BIS(4-HYDROXY-3,5-DIBROMOPHENYL)PROPANE;Elementary flows/Emission to air/high population density;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;kg;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;;;;;
2,2-bis(4-hydroxy-3,5-dibromophenyl)propane/emissions to air/low. pop./kg;554ac562-0c5a-4886-ba94-42082e00330f;1.0;2,2-Bis(4-hydroxy-3,5-dibromophenyl)propane;Emissions to air/low. pop.;;2,2-BIS(4-HYDROXY-3,5-DIBROMOPHENYL)PROPANE;Elementary flows/Emission to air/low population density;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;kg;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;;;;;
2,2-bis(4-hydroxy-3,5-dibromophenyl)propane/emissions to air/unspecified/kg;83323416-4d9b-4b86-9d2d-68bbba79c398;1.0;2,2-Bis(4-hydroxy-3,5-dibromophenyl)propane;Emissions to air/Unspecified;;2,2-BIS(4-HYDROXY-3,5-DIBROMOPHENYL)PROPANE;Elementary flows/Emission to air/unspecified;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;kg;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;;;;;
2,2-bis(4-hydroxy-3,5-dibromophenyl)propane/emissions to soil/industrial/kg;95df3183-5ffd-4d1b-a6ad-42a742b9c979;1.0;2,2-Bis(4-hydroxy-3,5-dibromophenyl)propane;Emissions to soil/industrial;;2,2-BIS(4-HYDROXY-3,5-DIBROMOPHENYL)PROPANE;Elementary flows/Emission to soil/industrial;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;kg;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;;;;;
2,2-bis(4-hydroxy-3,5-dibromophenyl)propane/emissions to soil/unspecified/kg;26c4a2fb-da18-46a3-98db-6c9a11e47556;1.0;2,2-Bis(4-hydroxy-3,5-dibromophenyl)propane;Emissions to soil/Unspecified;;2,2-BIS(4-HYDROXY-3,5-DIBROMOPHENYL)PROPANE;Elementary flows/Emission to soil/unspecified;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;kg;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;;;;;
2,2-bis(4-hydroxy-3,5-dibromophenyl)propane/emissions to water/unspecified/kg;add88aae-7dea-4c00-b1a9-e16561f9571b;1.0;2,2-Bis(4-hydroxy-3,5-dibromophenyl)propane;Emissions to water/Unspecified;;2,2-BIS(4-HYDROXY-3,5-DIBROMOPHENYL)PROPANE;Elementary flows/Emission to water/unspecified;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;kg;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;;;;;
2,4-d 2-ethylhexyl ester/emissions to soil/agricultural/kg;1b51bcb9-ae38-43c7-996b-3845c70e27ca;1.0;2,4-D 2-Ethylhexyl ester;Emissions to soil/agricultural;;2,4-D, 2-ethylhexyl ester;Elementary flows/Emission to soil/agricultural;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;kg;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg;;;;;;
